id_observation;annee;region;milieu_dominant;population;taux_urbanisation_pct;nombre_menages;taille_menage_moy;part_menages_bois_chauffe_pct;part_menages_charbon_pct;part_menages_petrole_pct;part_menages_gaz_pct;part_menages_electricite_pct;taux_foyers_ameliores_pct;cons_bois_chauffe_m3_par_hab;cons_charbon_m3_ebr_par_hab;prix_bois_ariary_stere;prix_charbon_ariary_sac;demande_bois_chauffe_m3_ebr;demande_charbon_m3_ebr;demande_totale_m3_ebr;taux_pauvrete_estime_pct;source_principale;statut_donnee;commentaire_collecte
DEM-2016-05;2016;Haute Matsiatra;rural;1378190;16.0;281497;4.9;75.29;ND;0.57;0.06;0.31;16.16;0.5735;0.718;14623;4959;740408.0;283192.55;1023600.55;71.49;simulation_utilisateur + extrapolation_regionale;historique_synthetique;source secondaire
DEM-2010-05;2010;Haute Matsiatra;rural;1190790;12.75;236566;5.03;77.11;22.07;ND;0;0.05;12.58;0.5962;0.6853;10266;2971;506 404;168311.12;674714.78;74.11;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2013-05;2013;Haute Matsiatra;rural;1271020;15.12;257640;4.93;76.7;22.82;0.52;0;0.07;16.25;0.5781;0.7076;12300;3644;615358.98;;840130.71;71.07;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2029-09;2029;Atsimo-Atsinanana;rural;1372290;11.75;273321;5.02;86.18;10.06;0.78;1.59;1.74;24.56;0.583;0.657;44811;14360;697639.31;97412.64;795051.95;77.59;projection_scenario_tendanciel;projection_scenario;
DEM-2012-11;2012;Analanjirofo;rural;977578;13.28;268758;3.64;85.88;13.5;0.32;0;0;14.75;0.5901;0.6884;12046;3866;504098.89;94990.92;599089.81;72.34;simulation_utilisateur + extrapolation_regionale;historique_synthetique;estimation
DEM-2023-18;2023;Androy;rural;1051274;11.49;241168;;91.36;7.51;0.54;0.54;0.7;20.57;0.5906;0.6595;30956;8444;631548.28;62296.45;693844.73;78.63;estimation_synthetique_calibree;historique_synthetique;a verifier
DEM-2022-14;2022;Sofia;rural;1708385;14.27;434063;3.94;73.8;25.25;0.32;0.34;0.49;21.97;0.5739;0.6896;25204;8240;826260.67;354909.16;1181169.83;77.42;JariAla;historique_synthetique;
DEM-2006-02;2006;Vakinankaratra;rural;1530120;8.88;324813;4.71;83.13;15.81;0.52;0;0;9.22;0.6223;0.6445;6599;2253;582954.77;113603.88;696558.65;82.09;simulation_utilisateur + extrapolation_regionale;historique_synthetique;donnee agregee
DEM-2018-06;2018;Amoron'i Mania;rural;834252;13.13;171897;4.85;86.35;12.42;0.63;0.01;0;16.71;0.5879;0.6839;18567;5651;522106.17;90977.4;613083.57;79.71;INSTAT_RGPH3_2018 + simulation_utilisateur;historique_synthetique;
DEM-2003-19;2003;Anosy;rural;508261;8.67;111745;4.55;88.62;10.34;0.81;0;0;7.58;0.6261;0.6441;4717;1715;173385.33;21078.16;194463.49;74.79;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2020-17;2020;Atsimo-Andrefana;rural;1898741;14.89;447765;4.24;74.83;23.81;0.2;0.29;0.54;19.51;0.5743;0.7003;20508;6775;961167.15;380962.62;1342129.77;77.47;simulation_utilisateur + extrapolation_regionale;historique_synthetique;a verifier
DEM-2020-19;2020;Anosy;rural;857232;17.49;203354;4.22;82.57;15.88;0.51;0.21;0.24;21.15;0.5583;0.7277;21418;6764;467292.56;118683.19;585975.75;72.34;simulation_utilisateur + extrapolation_regionale;historique_synthetique;donnee agregee
DEM-2025-16;2025;Melaky;rural;388921;13.73;89266;4.36;79.59;17.45;0.57;0.96;1.2;23.8;0.5739;0.6808;31710;10465;197910.05;52770.99;250681.04;77.0;projection_scenario_tendanciel;projection_scenario;
DEM-2006-10;2006;Atsinanana;rural;1056230;21.64;256524;4.12;70.78;28.38;0.46;0;0;12.47;0.5489;0.7894;6286;2056;-;176998.64;467537.88;74.93;simulation_utilisateur + extrapolation_regionale;historique_synthetique;a verifier
DEM-2022-18;2022;Androy;rural;1013986;11.34;229122;4.43;91,84;6.68;0.61;0.34;0.43;19.73;0.5926;0.6591;26631;8163;646027.93;53068.81;699096.74;79.09;estimation_synthetique_calibree;historique_synthetique;
DEM-2015-12;2015;Alaotra-Mangoro;rural;1144148;12.31;267851;4.27;73.96;25.4;0.48;0;0;14.5;0.5957;0.6774;13234;4748;608155.36;235342.65;843498.01;-;simulation_utilisateur + extrapolation_regionale;historique_synthetique;source secondaire
DEM-2030-09;2030;Atsimo-Atsinanana;rural;1418949;12.6;286642;4.95;84.45;10.89;0.8;1.72;2.05;26.45;0.5757;0.6641;48429;15956;740264.85;104979.88;845244.73;74.96;projection_scenario_tendanciel;projection_scenario;a verifier
DEM-2017-04;2017;Bongolava;rural;649287;6.58;144652;4.49;86.19;12.73;0.58;0.08;0;17.58;ND;0.6068;17508;5622;437687.64;59515.0;497202.64;79.0;simulation_utilisateur + extrapolation_regionale;historique_synthetique;source secondaire
DEM-2026-17;2026;Atsimo-Andrefana;rural;2258459;17.51;534956;4.22;71.53;25.82;0.17;1.24;1.69;25.73;0.5514;0.721;35670;10849;1026734.36;486661.9;1513396.26;75.02;projection_scenario_tendanciel;projection_scenario;a verifier
DEM-2011-18;2011;Androy;rural;720203;6.15;155599;4.63;95.43;4.16;0.77;0;0;10.55;0.6349;0.6106;11751;3475;409426.53;17988.38;427414.91;78.76;simulation_utilisateur + extrapolation_regionale;historique_synthetique;estimation
DEM-2028-19;2028;Anosy;rural;1106961;20.64;274248;4.04;77.67;18.24;0.43;1.46;1.67;25.88;0.5351;0.7564;39351;13439;503388.07;169768.86;673156.93;69.54;projection_scenario_tendanciel;projection_scenario;donnee agregee
DEM-2006-17;2006;Atsimo-Andrefana;rural;1262743;7,96;280399;4.5;80.58;19.05;0.54;0;0;9.79;0.6264;0.6328;6383;2259;449914.04;109696.7;559610.74;80.15;simulation_utilisateur + extrapolation_regionale;historique_synthetique;a verifier
DEM-2022-21;2022;DIANA;mixte;1022967;36.15;297066;3.44;44.75;52.29;0.19;1.11;2.08;29.08;0.4511;0.9266;23343;8082;238299.15;566714.76;805013.91;63.04;estimation_synthetique_calibree;historique_synthetique;donnee agregee
DEM-2027-01;2027;Analamanga;mixte;4845355;43.13;1263734;3.83;21.61;71.24;0.14;3.38;3.35;30.88;0.4134;1.0016;30656;10271;485309.74;3938722.47;4424032.21;57.61;projection_scenario_tendanciel;projection_scenario;source secondaire
DEM-2027-17;2027;Atsimo-Andrefana;rural;2334698;18.25;560938;4.16;70.86;25.4;0.15;1.34;1.78;26.33;0.5467;0.7285;-;12594;1028773.9;465197.51;1493971.41;74.32;projection_scenario_tendanciel;projection_scenario;donnee agregee
DEM-2028-08;2028;Ihorombe;rural;562216;14.55;128231;4.38;69.73;26.5;0.65;1.49;1.55;25.86;0.5665;0.6871;42617;14038;238464.27;111 004;349468.58;73.55;projection_scenario_tendanciel;projection_scenario;
DEM-2030-14;2030;Sofia;rural;2158394;17.68;569087;3.79;68.4;27.36;0.18;1.64;2.03;27.22;0.5483;0.7207;46222;16101;859369.81;436571.33;1295941.14;76.68;projection_scenario_tendanciel;projection_scenario;
DEM-2000-13;2000;Boeny;mixte;501423;25.72;114789;4.37;58.54;40.61;0.6;0;0;7.66;0.5336;0.8455;3965;1211;79769.19;91502.74;171271.93;69.03;simulation_utilisateur + extrapolation_regionale;historique_synthetique;a verifier
DEM-2023-09;2023;Atsimo-Atsinanana;rural;1169192;9.21;226930;5.15;89.81;8.16;0.94;0.64;0.76;18.79;0.6053;0.6357;28922;9097;733290.75;69924.27;803215.02;76,71;estimation_synthetique_calibree;historique_synthetique;
DEM-2008-03;2008;Itasy;rural;676511;12.18;147133;4.6;87.44;11.49;0.63;0;0;11.91;0.6003;0.6796;7835;2488;300025.03;45278.72;345303.75;71.72;simulation_utilisateur + extrapolation_regionale;historique_synthetique;source secondaire
DEM-2030-06;2030;Amoron'i Mania;rural;1107261;18.2;241192;4.59;79.68;16.3;0.45;1.74;1.92;27.02;0.546;0.7269;46077;16092;517301.87;141459.67;658761.54;78.37;projection_scenario_tendanciel;projection_scenario;
DEM-2010-03;2010;Itasy;rural;721045;13.22;160348;4.5;88.39;11.72;0.54;0;0;13.78;0.5919;0.6891;9559;2845;344839.39;55219.49;400058.88;71.49;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2004-21;2004;DIANA;mixte;547 892;26.23;145308;3.77;54.05;45.44;0.49;0;0.52;12.39;0.5244;0.8433;5561;1776;100558.98;142877.55;243436.53;64.73;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2011-06;2011;Amoron'i Mania;rural;710648;9.29;142695;4.98;88.12;10.77;0.67;0;0;11.01;0.6172;0.6469;10718;3296;369844.79;47742.45;417587.24;79.65;simulation_utilisateur + extrapolation_regionale;historique_synthetique;estimation
DEM-2021-19;2021;Anosy;rural;886005;18.05;209835;4.22;84.06;15.13;0.58;0.28;0.39;19.59;0.5576;0.7366;20314;6723;505723.09;121138.12;626861.21;70.92;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2012-08;2012;Ihorombe;rural;346744;7.19;74321;4.67;76.09;22.35;0.88;0;0;14.4;0.623;0.6179;10960;3355;168900.5;50393.06;;75.49;simulation_utilisateur + extrapolation_regionale;historique_synthetique;estimation
DEM-2024-07;2024;Vatovavy-Fitovinany;rural;1676718;11.65;370357;4.53;86.16;11.17;1.34;0.84;0.86;22.11;0.5873;0,66;30610;10389;986220.5;144949.96;1131170.46;74.08;estimation_synthetique_calibree;historique_synthetique;source secondaire
DEM-2012-12;2012;Alaotra-Mangoro;rural;1062540;11.58;248515;4.28;73.28;25.58;0.56;0;0;15.19;0.5985;0.668;11499;3344;485 570;185142.36;670712.7;80.42;simulation_utilisateur + extrapolation_regionale;historique_synthetique;donnee agregee
DEM-2018-17;2018;Atsimo-Andrefana;rural;1812676;14.1;416807;4.35;77.82;22.18;0.35;0;0.27;18.81;0.5796;0.6921;18604;5701;972736.95;331346.04;1304082.99;78.28;INSTAT_RGPH3_2018 + simulation_utilisateur;historique_synthetique;donnee agregee
DEM-2011-20;2011;Menabe;rural;554971;12.43;126546;4.39;78.38;21.07;0.57;0;0;14.59;0.5949;0.6787;9373;3266;249119.38;73974.79;323094.17;71.49;simulation_utilisateur + extrapolation_regionale;historique_synthetique;source secondaire
DEM-2027-22;2027;SAVA;rural;1464726;23.27;417996;3.5;71.08;26.67;0.04;1.3;1.52;26.62;0.5204;0.7851;37574;12357;604944.01;329055.92;933999.93;78.32;projection_scenario_tendanciel;projection_scenario;donnee agregee
DEM-2001-01;2001;Analamanga;mixte;2112060;27.77;489665;4.31;37.11;60.78;0.44;1.23;0.56;9.43;0.5201;0.8666;3764;1274;216770.39;622925.76;839696.15;61.66;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2008-19;2008;Anosy;rural;592008;11.84;133887;4.42;87.59;12.04;0.69;0;0;9.97;0.6052;0.6782;7508;2538;246905.62;40953.81;287859.43;73.85;simulation_utilisateur + extrapolation_regionale;historique_synthetique;estimation
DEM-2016-20;2016;Menabe;rural;648322;15.51;150308;4.31;77.12;22.63;0.46;0.07;0;19.08;0.5717;0.7081;15856;5055;343971.39;123742.93;467714.32;71.86;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2003-22;2003;SAVA;rural;725669;10.59;185372;3.91;80.1;19.66;0.41;0;0;7.86;0.6152;0.6665;5227;1763;223488.98;58515.87;282004.85;81.94;simulation_utilisateur + extrapolation_regionale;historique_synthetique;donnee agregee
DEM-2008-04;2008;Bongolava;rural;502601;3;107452;4.68;88.29;10.69;0.66;0;0;10.01;0.6527;0.5743;8370;2703;245066.36;25587.66;270654.02;80.64;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2019-11;2019;Analanjirofo;rural;1173660;16.33;331401;3.54;82.96;16.19;0.21;0.06;0.1;19.65;0.5666;0.7166;20508;6927;700353.13;167543.11;867896.24;71.67;simulation_utilisateur + extrapolation_regionale;historique_synthetique;donnee agregee
DEM-2016-07;2016;Vatovavy-Fitovinany;rural;1367283;8.54;296987;4.6;88.95;9.24;1.37;0;0;15.53;0.614;0.6322;17024;4774;901968.09;99303.14;1001271.23;76.05;simulation_utilisateur + extrapolation_regionale;historique_synthetique;estimation
DEM-2028-18;2028;Androy;rural;1232028;13.94;286 100;4.31;86.61;9.61;0.44;1.48;1.6;25.74;0.5699;0.6803;44350;12698;636371.09;85357.5;721728.59;77.17;projection_scenario_tendanciel;projection_scenario;
DEM-2028-14;2028;Sofia;rural;2056615;16.86;541202;3.8;70.38;26.94;0.29;1.3;1.63;24.17;0.5571;0.7159;43505;13182;888596.94;419488.47;1308085.41;75.81;projection_scenario_tendanciel;projection_scenario;
DEM-2014-10;2014;Atsinanana;mixte;1314429;26.08;331852;3.96;68.7;30.46;0.36;0.11;0;16.74;0.5194;0.834;13777;4054;548567.25;390242.57;938809.82;75.17;simulation_utilisateur + extrapolation_regionale;historique_synthetique;estimation
DEM-2007-04;2007;Bongolava;rural;485033;3;104211;4.65;88.98;10.01;0.65;0;0;8.86;0.6546;0.5756;8221;2439;219162.75;21827.34;240990.09;80.67;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2006-06;2006;Amoron'i Mania;rural;627711;7.2;124111;5.06;90.28;9.48;0.76;0;0;9.13;0.6315;0.6248;6622;2130;261379.27;27906.28;289 286;80.54;simulation_utilisateur + extrapolation_regionale;historique_synthetique;source secondaire
DEM-2008-16;2008;Melaky;rural;220933;6.8;47325;4.67;87.3;12.02;0.9;0;0;12.28;0.6286;0.6161;8820;2502;96494.38;13847.98;110342.36;78.17;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2011-19;2011;Anosy;rural;658093;12.27;151289;4.35;86.57;12.84;0.76;0;0;15.14;0.5949;0.6761;10085;3242;312160.31;56702.24;368862.55;71.84;simulation_utilisateur + extrapolation_regionale;historique_synthetique;estimation
DEM-2024-03;2024;Itasy;rural;1060726;20.09;249 439;4.25;80.35;17.02;0.27;0.84;0.97;24.99;0.5392;0.7515;26776;8954;536222.79;164831.1;701053.89;71.36;estimation_synthetique_calibree;historique_synthetique;
DEM-2027-04;2027;Bongolava;rural;870284;11.03;200368;4.34;82.65;14.72;0.38;1.46;1.49;22.11;0.5906;0.6522;43946;12821;461615.47;94210.23;555825.7;76.7;projection_scenario_tendanciel;projection_scenario;source secondaire
DEM-2026-04;2026;Bongolava;rural;847105;10.05;194921;4.35;82.5;14.12;0.39;1.26;1.19;24.46;0.592;0.6377;38569;10865;457862.77;84875.84;542738.61;76.47;projection_scenario_tendanciel;projection_scenario;
DEM-2015-18;2015;Androy;rural;816239;8.6;180714;4,52;93.62;5.83;0.7;0;0;16.75;0.6118;0.6313;15308;4621;560033.9;37615.5;597649.4;78.31;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2008-02;2008;Vakinankaratra;rural;1605998;9.82;342547;4.69;82.62;16.21;0.49;0;0;11.0;0.6144;0.6532;-8719.0;2640;657349.44;144510.44;801859.88;83,52;simulation_utilisateur + extrapolation_regionale;historique_synthetique;donnee agregee
DEM-2003-09;2003;Atsimo-Atsinanana;rural;694803;3;126 627;5.49;94.94;3.58;1.3;0;0;6.7;0.6582;0.5781;5273;1749;263733.44;9323.35;273056.79;79.24;simulation_utilisateur + extrapolation_regionale;historique_synthetique;donnee agregee
DEM-2028-21;2028;DIANA;mixte;1263611;39.29;381218;3.31;39.5;54.82;0.21;2.03;3.27;36.87;0.4259;0.9461;41543;11879;230186.3;739761.96;969948.26;61.77;projection_scenario_tendanciel;projection_scenario;source secondaire
DEM-2020-12;2020;Alaotra-Mangoro;rural;1315130;14.79;317718;4.14;72.0;26.86;0.42;0.29;0.26;19.0;0.5756;0.6999;22966;6600;677445.82;295309.1;972754.92;79.89;simulation_utilisateur + extrapolation_regionale;historique_synthetique;a verifier
DEM-2022-20;2022;Menabe;rural;790684;18.25;188128;4.2;74.41;24.17;0.27;0.51;0.57;20.33;0.5555;0.7377;25445;7307;386365.36;165880.25;552245.61;71.93;estimation_synthetique_calibree;historique_synthetique;source secondaire
DEM-2004-07;2004;Vatovavy-Fitovinany;rural;1005687;3.23;209007;4.81;91.91;6.05;1.6;0;0;8.49;0.654;0.5788;6644;1941;398792.4;23090.31;421882.71;76.9;simulation_utilisateur + extrapolation_regionale;historique_synthetique;estimation
DEM-2000-22;2000;SAVA;rural;657690;10.2;167037;3.94;80.91;19.2;0.43;0;0;-;0.6192;0.6635;4137;1396;176039.01;44347.44;220386.45;82.3;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2015-07;2015;Vatovavy-Fitovinany;rural;1339524;7.54;285808;4.69;89.76;8.45;1.51;0;0;13.52;0.6226;0.6232;16387;5096;936805.91;87355.23;1024161.14;76.85;simulation_utilisateur + extrapolation_regionale;historique_synthetique;estimation
DEM-2023-16;2023;Melaky;rural;367818;12.78;85501;4.3;81.44;16.35;0.58;0,52;0.71;20.61;0.5838;0.6743;26509;8375;203271.49;47 712;250983.59;75.14;estimation_synthetique_calibree;historique_synthetique;
DEM-2017-03;2017;Itasy;rural;879812;17.0;200310;4.39;85.3;13.97;0,49;0.05;0.08;19.1;0.5639;0.7252;15585;5322;502584.82;114143.45;616728.27;72.29;simulation_utilisateur + extrapolation_regionale;historique_synthetique;estimation
DEM-2020-07;2020;Vatovavy-Fitovinany;rural;1521326;9.96;332914;4.57;89.4;9.5;1.4;0.09;0.14;19.03;0.601;0.6441;21294;6707;1035282.25;117916.87;1153199.12;73.64;simulation_utilisateur + extrapolation_regionale;historique_synthetique;estimation
DEM-2010-14;2010;Sofia;rural;1185622;8.33;284729;4.16;78.46;21.28;0.55;0;0;13.64;0.6182;0.6323;10051;2881;537227.19;144433.55;681660.74;77.41;simulation_utilisateur + extrapolation_regionale;historique_synthetique;a verifier
DEM-2001-03;2001;Itasy;rural;562539;9.15;120144;4.68;89.38;9.51;0.68;0;0;4.35;0.6286;0.654;4251;1311;177273.86;19588.13;196861.99;74.82;simulation_utilisateur + extrapolation_regionale;historique_synthetique;source secondaire
DEM-2006-04;2006;Bongolava;rural;468793;3;99608;4.71;88.93;10.08;0.75;0;0;10.04;0.6526;0.5742;7609;2328;193507.54;20034.55;213542.09;79.99;simulation_utilisateur + extrapolation_regionale;historique_synthetique;estimation
DEM-2020-16;2020;Melaky;rural;ND;11.29;75311;4.37;83.15;15.83;0.68;0.11;0.17;18.09;0.5955;0.6607;23263;-6897.0;204793.81;42496.58;247290.39;76.95;simulation_utilisateur + extrapolation_regionale;historique_synthetique;a verifier
DEM-2015-17;2015;Atsimo-Andrefana;rural;1638571;12.72;372255;4.4;78.09;21.54;0.33;0.01;0.19;17.38;0.589;;14187;4590;941598.83;282948.21;1224547.04;77.64;simulation_utilisateur + extrapolation_regionale;historique_synthetique;a verifier
DEM-2019-03;2019;Itasy;rural;919347;16.83;208347;4.41;84,06;14.68;0.34;0.16;0.22;19.26;0.5645;0.723;19061;6219;528701.69;118916.63;647618.32;70.0;simulation_utilisateur + extrapolation_regionale;historique_synthetique;a verifier
DEM-2024-21;2024;DIANA;mixte;1093204;37.39;319305;3.42;42.44;53.05;0.21;1.29;2.39;32.99;0.44;0.9328;28526;9101;231242.57;610962.81;842205.38;61.42;estimation_synthetique_calibree;historique_synthetique;donnee agregee
DEM-2029-11;2029;Analanjirofo;rural;1535177;21.32;457261;3.36;77.39;19.4;0;1.76;1.75;26.0;0.5314;0.7639;46027;13868;671038.74;244231.58;915270.32;71.1;projection_scenario_tendanciel;projection_scenario;source secondaire
DEM-2019-10;2019;Atsinanana;mixte;1519099;27.98;384264;3.95;65.71;32.78;0.28;0.28;0.36;19.64;0.5054;0.851;19776;6104;622459.47;534975.01;1157434.48;72.34;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
DEM-2000-15;2000;Betsiboka;rural;218866;4.28;45853;4.77;85.45;13.41;0.9;0;0;6.52;0.6516;0.5935;4071;1385;64790.41;8971.49;73761.9;78.93;simulation_utilisateur + extrapolation_regionale;historique_synthetique;source secondaire
DEM-2025-08;2025;Ihorombe;rural;519446;12.89;117223;4.43;ND;25.11;0.62;1.0;1.07;22.7;0.5799;0.6727;34528;11184;243391.54;103180.34;346571.88;73.36;projection_scenario_tendanciel;projection_scenario;a verifier
DEM-2002-05;2002;Haute Matsiatra;rural;973266;9.13;188148;5.17;78.56;20.27;0.76;0;0;7.54;0.6236;0.6496;4728;1516;282382.06;73048.42;355430.48;73.13;simulation_utilisateur + extrapolation_regionale;historique_synthetique;donnee agregee
DEM-2006-07;2006;Vatovavy-Fitovinany;rural;1050294;3.48;216031;4.86;91.3;6.62;1.57;0;0;8.94;0.6519;0.5812;7044;2374;467688.09;30177.02;497865.11;76.26;simulation_utilisateur + extrapolation_regionale;historique_synthetique;a verifier
DEM-2007-02;2007;Vakinankaratra;rural;1577225;9.41;338685;4.66;83.84;15.62;0.64;0;0;8.75;0.6202;0.6513;8133;2398;654925.63;127034.55;781960.18;82.13;simulation_utilisateur + extrapolation_regionale;historique_synthetique;
