id_observation;annee;region;superficie_foret_hors_ap_ha;superficie_foret_humide_ha;superficie_foret_seche_ha;superficie_foret_epineuse_ha;superficie_mangrove_ha;superficie_pin_ha;superficie_eucalyptus_ha;reboisement_annuel_ha;taux_deforestation_pct;rendement_carbonisation_pct;part_carbonisation_amelioree_pct;nombre_centres_carbonisation;production_bois_feu_m3_ebr;production_bois_charbon_m3_ebr;production_charbon_tonnes;offre_totale_m3_ebr;volume_transporte_tonnes;distance_moyenne_marche_km;cout_transport_ariary_tonne_km;prix_producteur_charbon_ariary_sac;source_principale;statut_donnee;commentaire_collecte
OFF-2022-18;2022;Androy;138437.66;0.0;2019.61;135561.59;2.05;0.0;854.4;453.58;1.543;19.29;26.21;0;50 188;49277.33;6179.94;99465.31;14 101;82.3;191.85;5855;estimation_synthetique_calibree;historique_synthetique;
OFF-2016-21;2016;DIANA;247023.24;160235.23;49652.65;0.0;17734.85;-;0.0;2949.12;0.382;15.18;36.82;12;1013432.13;253547.93;25014.44;1266980.06;202929.63;42.7;127.0;3455;simulation_utilisateur + repartition_regionale;historique_synthetique;source secondaire
OFF-2021-05;2021;Haute Matsiatra;61973.81;32762.7;1239.9;0.0;0.0;24622.0;3349.21;5355.19;1.595;18.19;25.18;0;184059.07;101625.18;12013.34;285684.25;42981.57;67.9;190.52;5170;simulation_utilisateur + repartition_regionale;historique_synthetique;donnee agregee
OFF-2026-13;2026;Boeny;145146.51;0.0;117371.4;0.0;25666.59;737.99;1370.54;762.51;0.921;24.01;53.19;16;105204.79;101048.19;15767.3;206252.98;31866.05;31.8;304.51;7407;projection_scenario_tendanciel;projection_scenario;
OFF-2004-18;2004;Androy;184350.15;0.0;2388.07;181851.05;2.09;0.0;108.94;94.15;0.611;8.48;7.85;0;131453.67;88880.26;4896.49;220333.93;27676.78;84.5;47.93;1405;simulation_utilisateur + repartition_regionale;historique_synthetique;donnee agregee
OFF-2021-15;2021;Betsiboka;28138.28;5253.48;20224.08;0.0;0.42;1371.61;1288.68;803.95;1.081;18.3;27.96;0;35265.21;43137.82;5131.0;78403.03;10555.16;70.2;202.3;5020;simulation_utilisateur + repartition_regionale;historique_synthetique;valeur saisie manuellement
OFF-2004-14;2004;Sofia;284343.3;182530.19;86033.01;0.0;15668.6;16.72;94.77;98.13;0.297;8.86;7.42;0;841920.86;596051.21;34312.23;1437972.07;179681.79;58.3;53.25;1282;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2001-16;2001;Melaky;223775.84;0.0;207984.75;0.0;15745.65;6.82;38.62;96.01;0.35;7;0;0;204099.76;132561.58;6 032;336661.34;41683.83;68.3;41.82;1085;simulation_utilisateur + repartition_regionale;historique_synthetique;donnee agregee
OFF-2025-01;2025;Analamanga;100614.81;15482.77;352.65;n/a;0.0;453.7;84325.7;18558.59;1.257;20.61;30.28;1;616514.99;;247832.12;2466240.62;314195.04;20.6;297.12;6620;projection_scenario_tendanciel;projection_scenario;donnee agregee
OFF-2007-06;2007;Amoron'i Mania;20523.46;19924.68;ND;0.0;0.0;0.0;300.13;100.96;0.47;9.71;8.76;0;54177.46;41793.81;2638.94;95971.27;11915.88;57.9;55.5;1643;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2015-05;2015;Haute Matsiatra;58587.0;36204.99;1295.1;0.0;0.0;18562.01;2524.9;2500.75;0.273;15.25;18.27;0;190629.56;113608.03;11261.77;304237.59;43547.97;64.2;108.96;3147;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2006-09;2006;Atsimo-Atsinanana;128104.63;127953.75;0.0;0.0;0.0;22.63;128.25;104.05;0.585;10.37;9.26;0;164764.18;110342.61;7439.59;275106.8;35758.01;65.7;63.05;1541;simulation_utilisateur + repartition_regionale;historique_synthetique;donnee agregee
OFF-2013-11;2013;Analanjirofo;344905.83;344477.93;74.67;0.0;0.0;52.98;300.24;147.91;0.925;ND;18.46;0;302003.63;232572.18;21306.72;534575.81;71832.17;72.9;94.95;2796;simulation_utilisateur + repartition_regionale;historique_synthetique;donnee agregee
OFF-2024-14;2024;Sofia;237440.04;147084.48;74096.64;0.0;15227.02;154.79;877.12;387.53;1.271;20.33;29,71;0;332887.34;378903.38;50069.72;711790.71;100976.89;63.5;264.37;6782;estimation_synthetique_calibree;historique_synthetique;source secondaire
OFF-2012-18;2012;Androy;169193.57;n/a;2270.67;166588.34;2.08;0.0;332.48;156.26;1.124;12.97;15.15;0;94719.58;74047.61;6243.72;168767.19;22169.38;77.0;81.7;2361;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2027-16;2027;Melaky;192161.53;0.0;176066.18;0.0;14784.96;196.56;1113.83;520.55;0.871;21.85;34.77;1;73917.62;82066.25;11657.04;155983.87;22863.94;72.8;315.31;7860;projection_scenario_tendanciel;projection_scenario;a verifier
OFF-2004-02;2004;Vakinankaratra;16255.15;5461.66;0.0;0.0;0.0;4665.69;6127.79;1263.97;0.407;7.85;4.73;0;36104.57;238567.87;12177.28;274672.44;16484.2;68.1;43.59;1314;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2011-22;2011;SAVA;337953.79;331579.75;5334.06;0.0;748.73;43.69;247.56;162.9;0.883;12.61;17.03;0;538976.28;454672.98;37266.13;993649.26;127573.96;65.3;85.88;2415;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2019-21;2019;DIANA;248387.37;154910.26;50033.19;0.0;19283.42;24160.5;0.0;3098.51;1.331;17.38;43.62;16;1081009.86;228331.41;25799.09;1309341.27;215737.03;46.8;156.95;4207;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2008-18;2008;Androy;178655.08;0.0;2336.31;176123.73;2.07;0.0;192.96;94.01;0.626;11.44;8.93;0;121334.24;81838.85;;203173.09;26832.26;75.1;59.75;1862;simulation_utilisateur + repartition_regionale;historique_synthetique;source secondaire
OFF-2009-03;2009;Itasy;887.26;15.06;15.55;0.0;0.0;0.0;856.66;137.99;0.362;10.89;12.92;0;162.88;32274.22;2284.94;32437.09;1902.97;51.7;69.78;1835;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2015-01;2015;Analamanga;71259.94;18451.04;394.28;0.0;0.0;280.5;52134.12;7043.25;0.544;14.93;17.86;0;409073.69;1671397.38;162204.68;2080471.07;206641.1;19.6;106.54;2707;simulation_utilisateur + repartition_regionale;historique_synthetique;source secondaire
OFF-2002-06;2002;Amoron'i Mania;21018.11;20527.3;305.63;0.0;0.0;0.0;185.18;98.46;0.534;7;1.27;0;60195.9;44621.91;2030.3;104817.81;12500.11;56.8;44.66;990;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2003-18;2003;Androy;185591.36;0.0;2 399;183102.43;2.09;0.0;87.43;100.82;0.385;7.61;3.68;0;;87829.21;4345.76;219507.06;27265.53;76.3;ND;1246;simulation_utilisateur + repartition_regionale;historique_synthetique;source secondaire
OFF-2010-12;2010;Alaotra-Mangoro;262547.19;203613.03;311.28;0.0;0.0;39807.61;18815.27;9380.35;0.629;12.07;13.75;0;1643855.91;696397.14;54653.53;2340253.04;340709.96;68.1;71.72;1986;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2017-16;2017;Melaky;205941.25;0.0;190740.49;0.0;14733.75;70.05;396.96;131.14;0.231;15.46;22.35;0;154743.11;107171.04;10766.76;261914.16;36682.5;67.5;136.33;3714;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2014-12;2014;Alaotra-Mangoro;262293.02;193749.12;301.68;0.0;0.0;46339.58;21902.65;9411.54;0.997;14.53;17.01;0;1738935.43;627230.56;59247.36;2366165.99;361591.21;68.4;114.77;3134;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2002-13;2002;Boeny;161803.27;0.0;134844.39;0.0;26842.23;40.82;75.81;168.97;0.288;7.61;5.37;0;221513.67;150669.22;7453.93;372182.89;45984.68;31.1;40;984;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2001-08;2001;Ihorombe;66566.78;59722.48;6799.52;0.0;0.0;6.72;38.07;94.57;0.507;7.12;5.47;0;88039.75;63187.68;2925.81;151227.43;18246.32;68.2;40;1087;simulation_utilisateur + repartition_regionale;historique_synthetique;a verifier
OFF-2025-13;2025;Boeny;146921.19;0.0;118983.55;0.0;25982.03;684.46;1271.15;787.29;0.963;22.51;49.93;15;110323.55;107669.79;15756.85;217993.34;32778.86;29.0;266.5;6334;projection_scenario_tendanciel;projection_scenario;estimation
OFF-2028-22;2028;SAVA;260792.95;254317.62;4350.95;0.0;682.97;216.21;1225.19;463.29;2.03;21.44;35.17;1;204543.1;265759.91;37030.61;470303.01;67182.86;66,60;360.7;9061;projection_scenario_tendanciel;projection_scenario;source secondaire
OFF-2016-08;2016;Ihorombe;59916.57;53281.94;6175.3;0.0;0.0;68.9;390.43;;0.411;15.22;21.61;0;69605.22;54583.57;5398.59;124188.79;16955.78;69.8;121.8;3542;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2017-10;2017;Atsinanana;151708.65;148055.47;0.0;0.0;0.0;;3653.17;518.08;0.474;14.7;21.53;0;197148.27;173826.23;16606.82;370974.5;49104.28;60.1;131.63;3778;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2030-07;2030;Vatovavy-Fitovinany;60925.01;58998.51;0.0;0.0;0.0;0.0;1926.49;625.76;1.094;23.0;41.5;2;39848.48;49599.74;7415.62;89448.22;13253.53;82.1;355.79;11238;projection_scenario_tendanciel;projection_scenario;estimation
OFF-2024-11;2024;Analanjirofo;290503.19;289399.6;66.07;0.0;0.0;155.63;881.88;472.76;1.235;18.49;33.56;1;156920.55;170259.28;20458.4;327179.83;45021.58;72.0;239.71;6292;estimation_synthetique_calibree;historique_synthetique;source secondaire
OFF-2029-06;2029;Amoron'i Mania;16548.68;14555.99;235.49;0.0;0.0;0.0;1757.2;642.2;1.157;22.07;38.21;2;20322.35;25594.23;3671.85;45916.57;6668.94;61.7;326.07;9761;projection_scenario_tendanciel;projection_scenario;
OFF-2002-10;2002;Atsinanana;168796.71;;0.0;0.0;0.0;0.0;2420.81;266.53;0.571;7.87;4.27;0;208 758;226954.57;11604.95;435713.05;47092.59;55.8;40.4;1112;simulation_utilisateur + repartition_regionale;historique_synthetique;a verifier
OFF-2007-18;2007;Androy;180131.09;0.0;2349.75;177607.59;2.07;0.0;171.67;84.98;0.488;10.68;9.18;0;114127.68;83998.48;5833.85;198126.16;25326.74;81.7;56.23;ND;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2030-15;2030;Betsiboka;26381.06;4537.52;-17617.61;0.0;0.38;2178.64;2 047;1158.96;ND;22.52;41.87;2;27316.37;36294.6;5313.14;63610.97;9273.72;68.3;356.2;10954;projection_scenario_tendanciel;projection_scenario;estimation
OFF-2006-10;2006;Atsinanana;165229.19;162559.5;0.0;0.0;0.0;0.0;2669.69;289.88;0.616;9.05;6.05;0;207009.63;202613.91;11914.82;409623.54;47031.88;62.1;50.35;1489;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2017-14;2017;Sofia;259738.15;165431.38;79064.8;0.0;14750.66;73.7;417.61;160.13;0.325;14.97;22.09;0;656788.12;477481.66;46455.67;1134269.78;156315.52;56.9;137.78;3637;simulation_utilisateur + repartition_regionale;historique_synthetique;a verifier
OFF-2007-10;2007;Atsinanana;164210.78;161475.6;0.0;0.0;0.0;0.0;2735.19;298.99;0.504;9.6;13.0;0;217885.81;198232.59;12376.01;416118.4;49367.78;55.8;65.69;1543;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2016-12;2016;Alaotra-Mangoro;260 945;191801.91;294.92;0.0;0.0;46751.03;22097.12;10221.56;0.349;15.31;20.84;0;1744872.99;645338.62;64224.15;2390211.61;366740.94;61,50;125.72;3184;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2010-05;2010;Haute Matsiatra;58566.81;38186.37;n/a;0.0;0.0;16743.15;2277.49;2308.32;0.524;11.12;15.94;0;179969.94;120686.25;8726.84;300656.19;39550.6;69.7;79.9;2252;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2021-20;2021;Menabe;296726.08;0.0;282522.39;0.0;13428.99;116.21;658.5;360.32;1.052;18.42;25.5;0;102059.5;102152.63;12231.53;204212.12;28400.57;47.6;182.43;4959;simulation_utilisateur + repartition_regionale;historique_synthetique;source secondaire
OFF-2020-18;2020;Androy;144876.92;0.0;2093.32;142108.38;2.1;0.0;673.12;229.45;1.769;16.94;24.58;0;62147.96;55856.31;6150.44;118004.27;16230.0;79,40;184.2;4609;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2029-14;2029;Sofia;220021.78;135656.18;68626.27;0.0;14211.91;229.11;1298.31;523.82;1.05;22.04;38.07;2;258373.02;310202.1;44431.11;568575.12;82940.65;60.3;335.06;10002;projection_scenario_tendanciel;projection_scenario;
OFF-2009-01;2009;Analamanga;64716.7;19606.41;ND;0.0;0.0;239.18;44454.67;3823.21;0.566;12.09;12.65;0;280114.59;1608339.51;126393.91;1888454.1;154063.63;18.7;69.95;1570;simulation_utilisateur + repartition_regionale;historique_synthetique;donnee agregee
OFF-2009-05;2009;Haute Matsiatra;58365.12;ND;ND;0.0;0.0;16309.86;2218.55;1414.63;0.618;10.93;ND;0;163184.96;125245.04;8898.32;288 430;36669.91;68.2;72.11;1873;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2000-17;2000;Atsimo-Andrefana;694136.9;0.0;148805.59;540004.65;4047.35;0.0;1279.31;200.17;0.556;7;0;0;286514.85;283359.83;12892.87;569874.68;62144.83;56.8;40;938;simulation_utilisateur + repartition_regionale;historique_synthetique;a verifier
OFF-2001-01;2001;Analamanga;58850.08;20582.3;432.41;0.0;0.0;202.48;37632.9;3665.31;0.461;7;1.11;0;249826.12;1522899.46;69291.93;1772725.58;101788.08;20.6;40;926;simulation_utilisateur + repartition_regionale;historique_synthetique;source secondaire
OFF-2007-11;2007;Analanjirofo;365208.71;364967.79;77.55;0.0;0.0;24.51;138.86;86.26;0.542;9.2;8.84;0;410158.04;266802.68;15960.72;676960.72;86916.24;68.2;64.13;1603;simulation_utilisateur + repartition_regionale;historique_synthetique;a verifier
OFF-2022-06;2022;Amoron'i Mania;17721.29;16418.05;263.39;0.0;0.0;0.0;1039.85;415.7;-;17.81;29.09;0;24642.93;30078.1;3481.56;54721.03;7290.61;ND;212.75;5560;estimation_synthetique_calibree;historique_synthetique;
OFF-2024-17;2024;Atsimo-Andrefana;516425.59;0.0;121570.4;387506.93;3857.86;0.0;3490.39;887.98;1.273;19.23;32.19;1;149557.68;155276.7;19403.84;304834.38;42831.53;57.4;249.54;6756;estimation_synthetique_calibree;historique_synthetique;source secondaire
OFF-2011-07;2011;Vatovavy-Fitovinany;79986.13;79536.87;0.0;0.0;0.0;0.0;449.26;196.83;0.873;11.51;15.18;0;109170.39;88960.22;6658.15;198130.61;25110.36;75.7;-;2432;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2029-22;2029;SAVA;256763.07;250272.02;4283.7;0.0;672.99;230.15;1304.2;513.43;1.175;21.99;37.26;2;209104.59;259074.17;37038.44;468178.75;68010.35;62.9;406.58;10582;projection_scenario_tendanciel;projection_scenario;donnee agregee
OFF-2006-22;2006;SAVA;351040.54;344688.61;5458.57;0.0;744.66;22.31;126.4;101.39;0.604;9.71;10.89;0;686888.66;489061.66;30857.94;1175950.33;148943.47;66.3;60.77;1482;simulation_utilisateur + repartition_regionale;historique_synthetique;donnee agregee
OFF-2028-05;2028;Haute Matsiatra;67141.85;28983.44;1107.96;0.0;0.0;32614.11;4436.34;7374.25;1.101;21.97;-18.2;1;197071.06;103111.79;14722.72;300182.86;47545.42;74.7;330.28;9070;projection_scenario_tendanciel;projection_scenario;donnee agregee
OFF-2013-13;2013;Boeny;157481.83;0.0;130130.31;0.0;26701.95;227.35;422.22;307.91;0.51;13.11;18.39;1;185642.56;128020.04;10909.89;313662.6;42361.77;29.9;93.73;2235;simulation_utilisateur + repartition_regionale;historique_synthetique;source secondaire
OFF-2018-14;2018;Sofia;261629.21;163721.33;81 134;0.0;16182.46;88.72;502.73;147.43;1.387;16.02;23.41;0;624525.43;438019.53;45605.4;1062544.96;149811.0;61.4;161.57;3909;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2020-01;2020;Analamanga;84676.05;17045.13;383.78;0.0;0.0;359.87;66887.26;10648.19;1.367;18.23;23.73;0;508 628;1776193.94;210526.52;2284821.52;264184.71;20.9;195.44;4291;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2002-18;2002;Androy;186838.09;0.0;2410.78;184360.88;2.1;0.0;64.33;86.36;0.375;7;6.45;0;128442.72;94789.1;4312.9;223231.82;;77.6;40;1044;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2028-14;2028;Sofia;-223368.61;137821.36;69693.27;0.0;14421.94;214.81;1217.23;455.77;0.935;22.3;38.83;2;256812.27;340744.08;49396.07;597556.35;86730.98;58.8;320.81;9639;projection_scenario_tendanciel;projection_scenario;estimation
OFF-2009-21;2009;DIANA;256957.57;170831.37;52594.98;0.0;18583.4;14947.82;0.0;2040.61;0.515;12.13;14,70;1;1068737.59;268061.94;21 135;1336799.54;209703.6;45.0;79.85;1889;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2007-08;2007;Ihorombe;64491.6;57693.06;6619.39;0.0;0.0;26.87;152.28;94.21;0,49;9.51;8.91;0;89452.9;60663.73;3750.3;150116.64;19176.77;68.0;55.29;1541;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2011-03;2011;Itasy;1028.37;14.86;15.49;0.0;0.0;0.0;998.02;262.94;0.773;13.26;17.47;0;162.74;34959.04;3014.24;35121.78;2500.97;54.3;84.61;2095;simulation_utilisateur + repartition_regionale;historique_synthetique;donnee agregee
OFF-2012-19;2012;Anosy;198145.55;85894.8;4920.93;106351.75;0.0;0.0;978.08;214.98;1.148;12.31;13.68;0;109586.21;91804.17;7344.31;201390.37;25747.85;46.7;93.68;2362;simulation_utilisateur + repartition_regionale;historique_synthetique;a verifier
OFF-2016-21;2016;DIANA;247023.24;160235.23;49652.65;0.0;17734.85;-;0.0;2949.12;0.382;15.18;36.82;12;1013432.13;253547.93;25014.44;1266980.06;202929.63;42.7;127.0;3455;simulation_utilisateur + repartition_regionale;historique_synthetique;source secondaire
OFF-2016-06;2016;Amoron'i Mania;19263.03;18384.47;278.43;0.0;ND;0.0;600.14;161.93;0.507;14.74;21.72;0;42308.54;37781.18;3618.81;80089.71;10582.96;63.7;114.05;3542;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2017-01;2017;Analamanga;73738.69;18222.94;390.36;0.0;0.0;295.0;54830.4;6277.2;0.276;15.47;24.78;0;410852.13;1676406.96;168546.03;2087259.09;212161.13;21.1;140.64;3450;simulation_utilisateur + repartition_regionale;historique_synthetique;a verifier
OFF-2025-20;2025;Menabe;279444.41;0.0;265571.15;0.0;12742.7;169.58;960.98;491.0;1.029;19.16;35.49;1;89113.77;100686.18;12538.0;189799.95;26321.64;48.8;265.87;6954;projection_scenario_tendanciel;projection_scenario;a verifier
OFF-2007-13;2007;Boeny;159463.81;0.0;132598.15;0.0;26569.0;103.83;192.82;148.68;0.259;9.86;10.92;0;215465.26;139206.75;8922.98;354672.01;46100.59;30.7;57.32;1509;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2001-20;2001;Menabe;319272.05;0.0;305984.94;0.0;13243.71;6.51;36.9;102.35;0.29;7;4.95;0;204527.37;147680.9;6719.48;352208.28;42324.9;53.0;40.31;928;simulation_utilisateur + repartition_regionale;historique_synthetique;donnee agregee
OFF-2028-08;2028;Ihorombe;49889.04;43117.52;5327.28;0.0;0.0;216.64;1227.62;491.01;1.288;20.76;36.92;1;28892.55;36408.31;4912.0;65300.86;9228.5;71.2;313.13;9295;projection_scenario_tendanciel;projection_scenario;a verifier
OFF-2022-08;2022;Ihorombe;54553.51;47826.04;5863.49;0.0;0.0;129.6;734.38;378.85;1.456;18.93;26.02;0;36616.62;39252.55;4830.35;75869.18;10551.88;78.7;227.83;5 693;estimation_synthetique_calibree;historique_synthetique;donnee agregee
OFF-2010-08;2010;Ihorombe;-;56529.87;6514.91;0.0;0.0;38.76;219.63;148.98;-;11.04;11.25;0;70633.53;54550.95;3913.85;125184.48;15923.39;68.9;74.37;2081;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2021-14;2021;Sofia;249478.61;155122.6;77747.89;0.0;15829.04;116.86;662.22;416.04;1.41;18.57;28.62;0;398512.14;391243.84;47235.94;789755.98;110465.66;63.0;179.87;5060;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2027-03;2027;Itasy;2631.09;11.93;13.11;0.0;0.0;0.0;2606.05;791.11;1.005;20.25;34.7;1;242.17;69205.17;9109.91;69447.34;7513.72;48.7;284.55;7872;projection_scenario_tendanciel;projection_scenario;a verifier
OFF-2008-01;2008;Analamanga;64026.21;19737.85;418.59;0.0;0.0;234.77;43635.01;3714.79;0.564;10.84;13.37;0;268702.22;1547268.74;109025.98;1815970.96;137767.7;20.3;72.52;1596;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2004-07;2004;Vatovavy-Fitovinany;83961.39;83724.35;0.0;0.0;0.0;0.0;237.05;106.94;0.306;8.74;8.98;0;142865.94;102045.51;5798.94;244911.45;243768.0;80.5;50.11;1419;simulation_utilisateur + repartition_regionale;historique_synthetique;source secondaire
OFF-2022-04;2022;Bongolava;4826.54;0,00;3221.8;0.0;0.0;0.0;1604.74;;0.926;17.68;31,21;1;2872.43;17035.79;1957.23;19908.22;2121.97;90.0;215.22;5500;estimation_synthetique_calibree;historique_synthetique;a verifier
OFF-2014-06;2014;Amoron'i Mania;19410.79;18574.2;284.83;0.0;0.0;0.0;551.75;166.93;0.96;13.46;16.53;0;42461.18;37059.73;3243.29;79520.91;10302.51;58.8;119.79;3064;simulation_utilisateur + repartition_regionale;historique_synthetique;a verifier
OFF-2002-07;2002;Vatovavy-Fitovinany;84842.82;84651.21;0.0;0.0;0.0;0.0;191.62;111.27;0.505;7.85;4.45;0;133244.22;106481.14;5434.44;239725.36;28440.2;81.4;40;1107;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2002-02;2002;Vakinankaratra;15792.8;5522.12;0.0;0.0;0.0;4439.7;5830.98;1 168;0.556;7;-2.02;0;34495.35;226073.21;10286.33;260568.56;14643.95;68.9;40;1118;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2026-06;2026;Amoron'i Mania;16965.3;15272.76;246.56;0.0;0.0;0.0;1445.98;ND;1.191;20.84;35.22;1;20952.53;27347.15;3703.61;48 300;6808.42;58.9;314.85;7494;projection_scenario_tendanciel;projection_scenario;donnee agregee
OFF-2019-15;2019;Betsiboka;28596.46;5438.74;20795.9;0.0;0.43;1217.51;1143.89;317.28;1.215;17.47;26.68;0;51799.54;46314.09;5258.21;98113.62;13635.65;65.0;163.39;4186;simulation_utilisateur + repartition_regionale;historique_synthetique;estimation
OFF-2012-02;2012;Vakinankaratra;18700.24;5123.22;0.0;0.0;0.0;5868.93;7708.09;n/a;1.017;13.75;15.52;0;38392.8;-;23650.24;303015.7;26303.9;64.8;95.87;2442;simulation_utilisateur + repartition_regionale;historique_synthetique;
OFF-2017-12;2017;Alaotra-Mangoro;;190624.19;293.47;0.0;0.0;47852.19;22617.59;7 937;0.433;16,24;24.13;0;1554388.17;646931.43;68274.44;2201319.61;335774.92;65.9;132.88;3428;simulation_utilisateur + repartition_regionale;historique_synthetique;donnee agregee
